schema_version,package_version,hardening_profile,evidence_schema,number,title,layer,purpose,file,checklist_items,acceptance_parent_items,parent_checkboxes,nested_todos_per_parent,nested_todos,actionable_checkboxes,prompt_workflow_pairs,prompts,workflows,validation_status,sha256
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,1,Electron Genome,Identity & Genome,Immutable canonical description of what the virtual electron is.,001_Electron_Genome.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,62df82966fb62f58b8f83fca4d6761d04be42675218ce6e7487c3471edaf870b
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,2,Genome Manifest,Identity & Genome,"Declares version, schema, capabilities, dependencies, and compatible VM targets.",002_Genome_Manifest.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,233c4b18e2b512a1f02e298d314c4a8b0f9f8b09fffbeffd926778f0dc5516c1
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,3,Genome SHA-256 Identity,Identity & Genome,Cryptographic fingerprint of the electron definition.,003_Genome_SHA_256_Identity.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,2c916709d437edf24e718d1b924986c93200633bcb8e053c797c8d9ea0c7d401
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,4,Canonical PA-LCTL Program,Identity & Genome,Portable executable representation shared across the DF VM suite.,004_Canonical_PA_LCTL_Program.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,17e0d957b3f549c9c840b3d99882bbcc078c47749968aca212b2111fe0cd96a3
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,5,Electron Intermediate Representation (EIR),Identity & Genome,VM-independent representation between the genome and target-specific lowering.,005_Electron_Intermediate_Representation_EIR.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,bd04e04b6aa1f93cab484e11a9b170738f1a5f9c03de447270c857a8e45806e3
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,6,Electron ID,Identity & Genome,Unique persistent identity for a virtual electron instance.,006_Electron_ID.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,0d01779a211a58a666b52e7caa3f9a6456a2f80810ea10be3bd8b37166eb479b
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,7,Generation ID,Identity & Genome,Indicates clone or fork generation.,007_Generation_ID.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,3f959190b26af4b0881df0fa700ea187b090b69671312cb4bd5c203d841b5970
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,8,Parent ID,Identity & Genome,Records which virtual electron produced a clone.,008_Parent_ID.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,36d73c7fe03c10c21b3b63471bdc2a4939beb413199c04a5468c8c4a0dd255d7
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,9,Lineage Record,Identity & Genome,Maintains the complete ancestry chain for cloned electrons.,009_Lineage_Record.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,00a9718062c7d2fad04b40f8eb69629496d582208a9adbc0dfc5fc35d17f3251
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,10,Genesis Record,Identity & Genome,Sealed initial configuration and state of the original electron.,010_Genesis_Record.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,14875f677654aa4fc9920d46444856f943a5ca5a36d7384b713099ab99072b6a
